Date,4502.JP,^NKX
2017/4/10,4150.63,18797.88
2017/4/11,4140.4,18747.87
2017/4/12,4138.03,18552.61
2017/4/13,4087.57,18426.84
2017/4/14,4049.75,18335.63
2017/4/17,4088.36,18355.26
2017/4/18,4094.67,18418.59
2017/4/19,4183.74,18432.2
2017/4/20,4109.64,18430.49
2017/4/21,4164.82,18620.75
2017/4/24,4191.63,18875.88
2017/4/25,4204.24,19079.33
2017/4/26,4195.57,19289.43
2017/4/27,4198.72,19251.87
2017/4/28,4210.54,19196.74
2017/5/1,4216.04,19310.52
2017/5/2,4237.34,19445.7
2017/5/8,4331.91,19895.7
2017/5/9,4342.95,19843
2017/5/10,4326.41,19900.09
2017/5/11,4432.02,19961.55
2017/5/12,4428.86,19883.9
2017/5/15,4455.66,19869.85
2017/5/16,4432.82,19919.82
2017/5/17,4524.25,19814.88
2017/5/18,4537.64,19553.86
2017/5/19,4500.59,19590.76
2017/5/22,4518.71,19678.28
2017/5/23,4561.27,19613.28
2017/5/24,4564.42,19742.98
2017/5/25,4571.53,19813.13
2017/5/26,4545.52,19686.84
2017/5/29,4564.42,19682.57
2017/5/30,4535.27,19677.85
2017/5/31,4498.23,19650.57
2017/6/1,4520.3,19860.03
2017/6/2,4556.56,20177.28
2017/6/5,4576.27,20170.82
2017/6/6,4475.36,19979.9
2017/6/7,4436.75,19984.62
2017/6/8,4437.54,19909.26
2017/6/9,4377.63,20013.26
2017/6/12,4414.69,19908.58
2017/6/13,4414.69,19898.75
2017/6/14,4402.85,19883.52
2017/6/15,4420.98,19831.82
2017/6/16,4444.62,19943.26
2017/6/19,4477.74,20067.75
2017/6/20,4465.91,20230.41
2017/6/21,4487.2,20138.79
2017/6/22,4543.16,20110.51
2017/6/23,4534.49,20132.67
2017/6/26,4558.92,20153.35
2017/6/27,4580.99,20225.09
2017/6/28,4543.95,20130.41
2017/6/29,4540.78,20220.3
2017/6/30,4499.81,20033.43
2017/7/3,4495.87,20055.8
2017/7/4,4478.53,20032.35
2017/7/5,4450.93,20081.63
2017/7/6,4490.36,19994.06
2017/7/7,4443.05,19929.09
2017/7/10,4488,20080.98
2017/7/11,4497.45,20195.48
2017/7/12,4477.74,20098.38
2017/7/13,4505.33,20099.81
2017/7/14,4477.74,20118.86
2017/7/18,4542.37,19999.91
2017/7/19,4532.91,20020.86
2017/7/20,4544.73,20144.59
2017/7/21,4528.19,20099.75
2017/7/24,4478.53,19975.67
2017/7/25,4451.74,19955.2
2017/7/26,4445.41,20050.16
2017/7/27,4436.75,20079.64
2017/7/28,4445.41,19959.84
2017/7/31,4596.75,19925.18
2017/8/1,4647.98,19985.79
2017/8/2,4650.35,20080.04
2017/8/3,4689.75,20029.26
2017/8/4,4708.67,19952.33
2017/8/7,4709.48,20055.89
2017/8/8,4695.28,19996.01
2017/8/9,4647.2,19738.71
2017/8/10,4717.35,19729.74
2017/8/14,4663.76,19537.1
2017/8/15,4706.31,19753.31
2017/8/16,4708.67,19729.28
2017/8/17,4674,19702.63
2017/8/18,4640.09,19470.41
2017/8/21,4644.84,19393.13
2017/8/22,4609.37,19383.84
2017/8/23,4644.04,19434.64
2017/8/24,4646.41,19353.77
2017/8/25,4643.26,19452.61
2017/8/28,4677.15,19449.9
2017/8/29,4708.67,19362.55
2017/8/30,4744.15,19506.54
2017/8/31,4789.85,19646.24
2017/9/1,4778.03,19691.47
2017/9/4,4714.2,19508.25
2017/9/5,4719.71,19385.81
2017/9/6,4688.18,19357.97
2017/9/7,4700.01,19396.52
2017/9/8,4742.56,19274.82
2017/9/11,4830.85,19545.77
2017/9/12,4839.51,19776.62
2017/9/13,4831.63,19865.82
2017/9/14,4838.73,19807.44
2017/9/15,4819.82,19909.5
2017/9/19,4879.71,20299.38
2017/9/20,4812.71,20310.46
2017/9/21,4800.9,20347.48
2017/9/22,4800.11,20296.45
2017/9/25,4871.84,20397.58
2017/9/26,4852.14,20330.19
2017/9/27,4872.93,20267.05
2017/9/28,4889.73,20363.11
2017/9/29,4970.52,20356.28
2017/10/2,4910.53,20400.78
2017/10/3,4974.51,20614.07
2017/10/4,5000.1,20626.66
2017/10/5,4996.1,20628.56
2017/10/6,4947.31,20690.71
2017/10/10,4916.91,20823.51
2017/10/11,4917.71,20881.27
2017/10/12,4915.32,20954.72
2017/10/13,4911.33,21155.18
2017/10/16,4968.91,21255.56
2017/10/17,5008.11,21336.12
2017/10/18,5042.5,21363.05
2017/10/19,5067.29,21448.52
2017/10/20,5060.11,21457.64
2017/10/23,5056.9,21696.65
2017/10/24,5068.9,21805.17
2017/10/25,5038.49,21707.62
2017/10/26,5061.7,21739.78
2017/10/27,5109.7,22008.45
2017/10/30,5118.48,22011.67
2017/10/31,5115.29,22011.61
2017/11/1,5144.1,22420.08
2017/11/2,5161.69,22539.12
2017/11/6,5126.49,22548.35
2017/11/7,5145.7,22937.6
2017/11/8,5129.68,22913.82
2017/11/9,5094.49,22868.71
2017/11/10,5128.88,22681.42
2017/11/13,5134.48,22380.99
2017/11/14,5113.7,22380.01
2017/11/15,4947.31,22028.32
2017/11/16,4956.11,22351.12
2017/11/17,4967.29,22396.8
2017/11/20,4950.53,22261.76
2017/11/21,4942.5,22416.48
2017/11/22,4923.31,22523.15
2017/11/24,4945.72,22550.85
2017/11/27,4920.12,22495.99
2017/11/28,4928.92,22486.24
2017/11/29,4918.53,22597.2
2017/11/30,4946.53,22724.96
2017/12/1,4940.12,22819.03
2017/12/4,4934.52,22707.16
2017/12/5,4919.33,22622.38
2017/12/6,4849.73,22177.04
2017/12/7,4900.92,22498.03
2017/12/8,4928.12,22811.08
2017/12/11,4943.3,22938.73
2017/12/12,4899.32,22866.17
2017/12/13,4967.29,22758.07
2017/12/14,5018.51,22694.45
2017/12/15,4976.12,22553.22
2017/12/18,5027.32,22901.77
2017/12/19,5066.49,22868
2017/12/20,5128.08,22891.72
2017/12/21,5134.48,22866.1
2017/12/22,5163.28,22902.76
2017/12/25,5156.89,22939.18
2017/12/26,5151.29,22892.69
2017/12/27,5150.48,22911.21
2017/12/28,5124.09,22783.98
2017/12/29,5120.09,22764.94
2018/1/4,5212.09,23506.33
2018/1/5,5253.67,23714.53
2018/1/9,5316.86,23849.99
2018/1/10,5332.06,23788.2
2018/1/11,5235.28,23710.43
2018/1/12,5155.29,23653.82
2018/1/15,5134.48,23714.88
2018/1/16,5156.09,23951.81
2018/1/17,5112.1,23868.34
2018/1/18,5136.89,23763.37
2018/1/19,5172.09,23808.06
2018/1/22,5192.08,23816.33
2018/1/23,5296.08,24124.15
2018/1/24,5287.26,23940.78
2018/1/25,5235.28,23669.49
2018/1/26,5314.45,23631.88
2018/1/29,5275.28,23629.34
2018/1/30,5208.08,23291.97
2018/1/31,5131.28,23098.29
2018/2/1,5216.86,23486.11
2018/2/2,5212.09,23274.53
2018/2/5,5052.9,22682.08
2018/2/6,4793.72,21610.24
2018/2/7,4821.73,21645.37
2018/2/8,4908.12,21890.86
2018/2/9,4780.14,21382.62
2018/2/13,4719.36,21244.68
2018/2/14,4730.54,21154.17
2018/2/15,4753.75,21464.98
2018/2/16,4758.54,21720.25
2018/2/19,4781.73,22149.21
2018/2/20,4727.35,21925.1
2018/2/21,4737.73,21970.81
2018/2/22,4708.15,21736.44
2018/2/23,4764.14,21892.78
2018/2/26,4850.52,22153.63
2018/2/27,4960.12,22389.86
2018/2/28,4888.93,22068.24
2018/3/1,4815.35,21724.47
2018/3/2,4681.74,21181.64
2018/3/5,4663.37,21042.09
2018/3/6,4688.95,21417.76
2018/3/7,4625.76,21252.72
2018/3/8,4616.16,21368.07
2018/3/9,4493.78,21469.2
2018/3/12,4548.17,21824.03
2018/3/13,4556.18,21968.1
2018/3/14,4517.78,21777.29
2018/3/15,4512.17,21803.95
2018/3/16,4512.98,21676.51
2018/3/19,4448.17,21480.9
2018/3/20,4393.79,21380.97
2018/3/22,4486.57,21591.99
2018/3/23,4388.99,20617.86
2018/3/26,4439.39,20766.1
2018/3/27,4511.38,21317.32
2018/3/28,4496.74,21031.31
2018/3/29,4161.85,21159.08
2018/3/30,4213.07,21454.3
2018/4/2,4148.84,21388.58
2018/4/3,4191.93,21292.29
2018/4/4,4295.96,21319.55
2018/4/5,4279.71,21645.42
2018/4/6,4064.3,21567.52
2018/4/9,4084.63,21678.26
2018/4/10,4064.3,21794.32
2018/4/11,4109.02,21687.1
2018/4/12,4060.24,21660.28
2018/4/13,3991.95,21778.74
2018/4/16,4077.3,21835.53
2018/4/17,4159.4,21847.59
2018/4/18,4143.95,22158.2
2018/4/19,4141.54,22191.18
2018/4/20,3948.06,22162.24
2018/4/23,4001.73,22088.04
2018/4/24,3943.19,22278.12
2018/4/25,3665.99,22215.32
2018/4/26,3703.39,22319.61
2018/4/27,3756.22,22467.87
2018/5/1,3734.28,22508.03
2018/5/2,3686.31,22472.78
2018/5/7,3625.35,22467.16
2018/5/8,3770.05,22508.69
2018/5/9,3681.44,22408.88
2018/5/10,3756.22,22497.18
2018/5/11,3783.04,22758.48
2018/5/14,3900.1,22865.86
2018/5/15,3816.37,22818.02
2018/5/16,3866.78,22717.23
