Date,nikkei
2021/1/4,27258.38
2021/1/5,27158.63
2021/1/6,27055.94
2021/1/7,27490.13
2021/1/8,28139.03
2021/1/12,28164.34
2021/1/13,28456.59
2021/1/14,28698.26
2021/1/15,28519.18
2021/1/18,28242.21
2021/1/19,28633.46
2021/1/20,28523.26
2021/1/21,28756.86
2021/1/22,28631.45
2021/1/25,28822.29
2021/1/26,28546.18
2021/1/27,28635.21
2021/1/28,28197.42
2021/1/29,27663.39
2021/2/1,28091.05
2021/2/2,28362.17
2021/2/3,28646.5
2021/2/4,28341.95
2021/2/5,28779.19
2021/2/8,29388.5
2021/2/9,29505.93
2021/2/10,29562.93
2021/2/12,29520.07
2021/2/15,30084.15
2021/2/16,30467.75
2021/2/17,30292.19
2021/2/18,30236.09
2021/2/19,30017.92
2021/2/22,30156.03
2021/2/24,29671.7
2021/2/25,30168.27
2021/2/26,28966.01
2021/3/1,29663.5
2021/3/2,29408.17
2021/3/3,29559.1
2021/3/4,28930.11
2021/3/5,28864.32
2021/3/8,28743.25
2021/3/9,29027.94
2021/3/10,29036.56
2021/3/11,29211.64
2021/3/12,29717.83
2021/3/15,29766.97
2021/3/16,29921.09
2021/3/17,29914.33
2021/3/18,30216.75
2021/3/19,29792.05
2021/3/22,29174.15
2021/3/23,28995.92
2021/3/24,28405.52
2021/3/25,28729.88
2021/3/26,29176.7
2021/3/29,29384.52
2021/3/30,29432.7
2021/3/31,29178.8
2021/4/1,29388.87
2021/4/2,29854
2021/4/5,30089.25
2021/4/6,29696.63
2021/4/7,29730.79
2021/4/8,29708.98
2021/4/9,29768.06
2021/4/12,29538.73
2021/4/13,29751.61
2021/4/14,29620.99
2021/4/15,29642.69
2021/4/16,29683.37
2021/4/19,29685.37
2021/4/20,29100.38
2021/4/21,28508.55
2021/4/22,29188.17
2021/4/23,29020.63
2021/4/26,29126.23
2021/4/27,28991.89
2021/4/28,29053.97
2021/4/30,28812.63
2021/5/6,29331.37
2021/5/7,29357.82
2021/5/10,29518.34
2021/5/11,28608.59
2021/5/12,28147.51
2021/5/13,27448.01
2021/5/14,28084.47
2021/5/17,27824.83
2021/5/18,28406.84
2021/5/19,28044.45
2021/5/20,28098.25
2021/5/21,28317.83
2021/5/24,28364.61
2021/5/25,28553.98
2021/5/26,28642.19
2021/5/27,28549.01
2021/5/28,29149.41
2021/5/31,28860.08
2021/6/1,28814.34
2021/6/2,28946.14
2021/6/3,29058.11
2021/6/4,28941.52
2021/6/7,29019.24
2021/6/8,28963.56
2021/6/9,28860.8
2021/6/10,28958.56
2021/6/11,28948.73
2021/6/14,29161.8
2021/6/15,29441.3
2021/6/16,29291.01
2021/6/17,29018.33
2021/6/18,28964.08
2021/6/21,28010.93
2021/6/22,28884.13
2021/6/23,28874.89
2021/6/24,28875.23
2021/6/25,29066.18
2021/6/28,29048.02
2021/6/29,28812.61
2021/6/30,28791.53
2021/7/1,28707.04
2021/7/2,28783.28
2021/7/5,28598.19
2021/7/6,28643.21
2021/7/7,28366.95
2021/7/8,28118.03
2021/7/9,27940.42
2021/7/12,28569.02
2021/7/13,28718.24
2021/7/14,28608.49
2021/7/15,28279.09
2021/7/16,28003.08
2021/7/19,27652.74
2021/7/20,27388.16
2021/7/21,27548
2021/7/26,27833.29
2021/7/27,27970.22
2021/7/28,27581.66
2021/7/29,27782.42
2021/7/30,27283.59
2021/8/2,27781.02
2021/8/3,27641.83
2021/8/4,27584.08
2021/8/5,27728.12
2021/8/6,27820.04
2021/8/10,27888.15
2021/8/11,28070.51
2021/8/12,28015.02
2021/8/13,27977.15
2021/8/16,27523.19
2021/8/17,27424.47
2021/8/18,27585.91
2021/8/19,27281.17
2021/8/20,27013.25
2021/8/23,27494.24
2021/8/24,27732.1
2021/8/25,27724.8
2021/8/26,27742.29
2021/8/27,27641.14
2021/8/30,27789.29
2021/8/31,28089.54
2021/9/1,28451.02
2021/9/2,28543.51
2021/9/3,29128.11
2021/9/6,29659.89
2021/9/7,29916.14
2021/9/8,30181.21
2021/9/9,30008.19
2021/9/10,30381.84
2021/9/13,30447.37
2021/9/14,30670.1
2021/9/15,30511.71
2021/9/16,30323.34
2021/9/17,30500.05
2021/9/21,29839.71
2021/9/22,29639.4
2021/9/24,30248.81
2021/9/27,30240.06
2021/9/28,30183.96
2021/9/29,29544.29
2021/9/30,29452.66
2021/10/1,28771.07
2021/10/4,28444.89
2021/10/5,27822.12
2021/10/6,27528.87
2021/10/7,27678.21
2021/10/8,28048.94
2021/10/11,28498.2
2021/10/12,28230.61
2021/10/13,28140.28
2021/10/14,28550.93
2021/10/15,29068.63
2021/10/18,29025.46
2021/10/19,29215.52
2021/10/20,29255.55
2021/10/21,28708.58
2021/10/22,28804.85
2021/10/25,28600.41
2021/10/26,29106.01
2021/10/27,29098.24
2021/10/28,28820.09
2021/10/29,28892.69
2021/11/1,29647.08
2021/11/2,29520.9
2021/11/4,29794.37
2021/11/5,29611.57
2021/11/8,29507.05
2021/11/9,29285.46
2021/11/10,29106.78
2021/11/11,29277.86
2021/11/12,29609.97
2021/11/15,29776.8
2021/11/16,29808.12
2021/11/17,29688.33
2021/11/18,29598.66
2021/11/19,29745.87
2021/11/22,29774.11
2021/11/24,29302.66
2021/11/25,29499.28
2021/11/26,28751.62
2021/11/29,28283.92
2021/11/30,27821.76
2021/12/1,27935.62
2021/12/2,27753.37
2021/12/3,28029.57
2021/12/6,27927.37
2021/12/7,28455.6
2021/12/8,28860.62
2021/12/9,28725.47
2021/12/10,28437.77
2021/12/13,28640.49
2021/12/14,28432.64
2021/12/15,28459.72
2021/12/16,29066.32
2021/12/17,28545.68
2021/12/20,27937.81
2021/12/21,28517.59
2021/12/22,28562.21
2021/12/23,28798.37
2021/12/24,28782.59
2021/12/27,28676.46
2021/12/28,29069.16
2021/12/29,28906.88
2021/12/30,28791.71
2022/1/4,29301.79
2022/1/5,29332.16
2022/1/6,28487.87
2022/1/7,28478.56
2022/1/11,28222.48
2022/1/12,28765.66
2022/1/13,28489.13
2022/1/14,28124.28
2022/1/17,28333.52
2022/1/18,28257.25
2022/1/19,27467.23
2022/1/20,27772.93
2022/1/21,27522.26
2022/1/24,27588.37
2022/1/25,27131.34
2022/1/26,27011.33
2022/1/27,26170.3
2022/1/28,26717.34
2022/1/31,27001.98
2022/2/1,27078.48
2022/2/2,27533.6
2022/2/3,27241.31
2022/2/4,27439.99
2022/2/7,27248.87
2022/2/8,27284.52
2022/2/9,27579.87
2022/2/10,27696.08
2022/2/14,27079.59
2022/2/15,26865.19
2022/2/16,27460.4
2022/2/17,27232.87
2022/2/18,27122.07
2022/2/21,26910.87
2022/2/22,26449.61
2022/2/24,25970.82
2022/2/25,26476.5
2022/2/28,26526.82
2022/3/1,26844.72
2022/3/2,26393.03
2022/3/3,26577.27
2022/3/4,25985.47
2022/3/7,25221.41
2022/3/8,24790.95
2022/3/9,24717.53
2022/3/10,25690.4
2022/3/11,25162.78
2022/3/14,25307.85
2022/3/15,25346.48
2022/3/16,25762.01
2022/3/17,26652.89
2022/3/18,26827.43
2022/3/22,27224.11
2022/3/23,28040.16
2022/3/24,28110.39
2022/3/25,28149.84
2022/3/28,27943.89
2022/3/29,28252.42
2022/3/30,28027.25
2022/3/31,27821.43
2022/4/1,27665.98
2022/4/4,27736.47
2022/4/5,27787.98
2022/4/6,27350.3
2022/4/7,26888.57
2022/4/8,26985.8
2022/4/11,26821.52
2022/4/12,26334.98
2022/4/13,26843.49
2022/4/14,27172
2022/4/15,27093.19
2022/4/18,26799.71
2022/4/19,26985.09
2022/4/20,27217.85
2022/4/21,27553.06
2022/4/22,27105.26
2022/4/25,26590.78
2022/4/26,26700.11
2022/4/27,26386.63
2022/4/28,26847.9
2022/5/2,26818.53
2022/5/6,27003.56
2022/5/9,26319.34
2022/5/10,26167.1
2022/5/11,26213.64
2022/5/12,25748.72
2022/5/13,26427.65
2022/5/16,26547.05
2022/5/17,26659.75
2022/5/18,26911.2
2022/5/19,26402.84
2022/5/20,26739.03
2022/5/23,27001.52
2022/5/24,26748.14
2022/5/25,26677.8
2022/5/26,26604.84
2022/5/27,26781.68
2022/5/30,27369.43
2022/5/31,27279.8
2022/6/1,27457.89
2022/6/2,27413.88
2022/6/3,27761.57
2022/6/6,27915.89
2022/6/7,27943.95
2022/6/8,28234.29
2022/6/9,28246.53
2022/6/10,27824.29
2022/6/13,26987.44
2022/6/14,26629.86
2022/6/15,26326.16
2022/6/16,26431.2
2022/6/17,25963
2022/6/20,25771.22
2022/6/21,26246.31
2022/6/22,26149.55
2022/6/23,26171.25
2022/6/24,26491.97
2022/6/27,26871.27
2022/6/28,27049.47
2022/6/29,26804.6
2022/6/30,26393.04
2022/7/1,25935.62
2022/7/4,26153.81
2022/7/5,26423.47
2022/7/6,26107.65
2022/7/7,26490.53
2022/7/8,26517.19
2022/7/11,26812.3
2022/7/12,26336.66
2022/7/13,26478.77
2022/7/14,26643.39
2022/7/15,26788.47
2022/7/19,26961.68
2022/7/20,27680.26
2022/7/21,27803
2022/7/22,27914.66
2022/7/25,27699.25
2022/7/26,27655.21
2022/7/27,27715.75
2022/7/28,27815.48
2022/7/29,27801.64
2022/8/1,27993.35
2022/8/2,27594.73
2022/8/3,27741.9
2022/8/4,27932.2
2022/8/5,28175.87
2022/8/8,28249.24
2022/8/9,27999.96
2022/8/10,27819.33
2022/8/12,28546.98
2022/8/15,28871.78
2022/8/16,28868.91
2022/8/17,29222.77
2022/8/18,28942.14
2022/8/19,28930.33
2022/8/22,28794.5
2022/8/23,28452.75
2022/8/24,28313.47
2022/8/25,28479.01
2022/8/26,28641.38
2022/8/29,27878.96
2022/8/30,28195.58
2022/8/31,28091.53
2022/9/1,27661.47
2022/9/2,27650.84
2022/9/5,27619.61
2022/9/6,27626.51
2022/9/7,27430.3
2022/9/8,28065.28
2022/9/9,28214.75
2022/9/12,28542.11
2022/9/13,28614.63
2022/9/14,27818.62
2022/9/15,27875.91
2022/9/16,27567.65
2022/9/20,27688.42
2022/9/21,27313.13
2022/9/22,27153.83
2022/9/26,26431.55
2022/9/27,26571.87
2022/9/28,26173.98
2022/9/29,26422.05
2022/9/30,25937.21
2022/10/3,26215.79
2022/10/4,26992.21
2022/10/5,27120.53
2022/10/6,27311.3
2022/10/7,27116.11
2022/10/11,26401.25
2022/10/12,26396.83
2022/10/13,26237.42
2022/10/14,27090.76
2022/10/17,26775.79
2022/10/18,27156.14
2022/10/19,27257.38
2022/10/20,27006.96
2022/10/21,26890.58
2022/10/24,26974.9
2022/10/25,27250.28
2022/10/26,27431.84
2022/10/27,27345.24
2022/10/28,27105.2
2022/10/31,27587.46
2022/11/1,27678.92
2022/11/2,27663.39
2022/11/4,27199.74
2022/11/7,27527.64
2022/11/8,27872.11
2022/11/9,27716.43
2022/11/10,27446.1
2022/11/11,28263.57
2022/11/14,27963.47
2022/11/15,27990.17
2022/11/16,28028.3
2022/11/17,27930.57
2022/11/18,27899.77
2022/11/21,27944.79
2022/11/22,28115.74
2022/11/24,28383.09
2022/11/25,28283.03
2022/11/28,28162.83
2022/11/29,28027.84
2022/11/30,27968.99
