t,export_us,import_us,export_cn,import_cn,P_us,P_cn,P_my,C_us,C_cn,C_my,Y_us,Y_cn
1991Q1,1211287041,1153658570,188934644.5,109410436.5,62,41,58,1.21E+12,,4142485712,2.49E+12,
1991Q2,1594870379,1272332437,174516035.7,178824633.7,62,42,59,2.42E+12,,8231404621,2.51E+12,
1991Q3,1519276102,1735941788,221690402.1,201904315,63,42,59,3.64E+12,,12903659804,2.52E+12,
1991Q4,1300386968,1646172381,217348729.9,148611217.9,63,43,60,4.85E+12,,17860948648,2.53E+12,
1992Q1,1433740963,1377807630,232438368.5,116707655.1,64,43,61,6.08E+12,,22876062830,2.56E+12,
1992Q2,1547793409,1853131510,240910677.2,196904802.9,64,44,62,7.34E+12,59036916092,27812941655,2.59E+12,
1992Q3,1630009814,2304732001,251098126.7,187415299.9,65,44,63,8.62E+12,1.25E+11,33845091796,2.61E+12,
1992Q4,1719067377,2058662460,250686736.8,271072437.9,65,46,63,9.93E+12,1.98E+11,39548977847,2.64E+12,1.06E+11
1993Q1,1665474129,1981433640,232960536.4,215684663,66,48,64,1.12E+13,2.57E+11,45103640227,2.64E+12,1.23E+11
1993Q2,2291276216,2334606514,259099575.9,307285030.9,66,51,64,1.26E+13,3.30E+11,51620508437,2.66E+12,1.37E+11
1993Q3,1708345405,2699330821,287490209.6,363579210.1,66,52,65,1.40E+13,4.12E+11,58353015184,2.67E+12,1.53E+11
1993Q4,2059527052,2564958084,316522434.4,317392901.4,67,54,65,1.54E+13,5.07E+11,65573245441,2.71E+12,1.74E+11
1994Q1,2135348756,2401283921,308783673.3,428145476.9,67,59,66,1.68E+13,5.61E+11,71992820740,2.73E+12,1.94E+11
1994Q2,2471584458,3166261965,310552839.3,486320894.2,68,62,66,1.83E+13,6.27E+11,78731739241,2.77E+12,2.17E+11
1994Q3,2603902727,3291751822,371180936.8,551817244.4,68,65,67,1.98E+13,7.02E+11,87180833861,2.79E+12,2.36E+11
1994Q4,2689008146,3588385898,372570705.6,466459913,69,69,68,2.13E+13,7.90E+11,95637121624,2.82E+12,2.50E+11
1995Q1,2808813849,2987511559,366046490.6,537915815.2,69,72,68,2.29E+13,8.62E+11,1.04942E+11,2.83E+12,2.63E+11
1995Q2,3246797600,3856329069,418516122,613472878.3,70,74,69,2.45E+13,9.49E+11,1.15509E+11,2.84E+12,2.79E+11
1995Q3,3136597169,4228962898,501371668.4,348000507.5,70,74,69,2.61E+13,1.05E+12,1.23432E+11,2.86E+12,3.04E+11
1995Q4,3464904863,4239994307,423514424.8,389699281.7,70,76,70,2.77E+13,1.16E+12,1.34333E+11,2.88E+12,3.37E+11
1996Q1,3561980432,3614211149,416328712.8,392934212.2,71,79,71,2.94E+13,1.25E+12,1.44062E+11,2.90E+12,3.70E+11
1996Q2,2981315241,3730091564,413449335.4,498907872.3,72,80,71,3.11E+13,1.35E+12,1.54711E+11,2.95E+12,3.97E+11
1996Q3,2526677753,3742723267,524730134.4,428038988.7,72,80,72,3.28E+13,1.46E+12,1.65542E+11,2.98E+12,4.23E+11
1996Q4,3063243845,3163946101,521794268.8,562572823.2,73,82,72,3.46E+13,1.59E+12,1.77202E+11,3.01E+12,4.58E+11
1997Q1,3078329889,3326663603,530276398.4,383675371.1,73,83,73,3.64E+13,1.69E+12,1.87716E+11,3.03E+12,4.95E+11
1997Q2,3603461965,3464385135,593983528.2,499533971.3,73,83,73,3.82E+13,1.81E+12,2.00415E+11,3.08E+12,5.35E+11
1997Q3,3289007136,4054664083,583387156.8,485935519.2,74,82,73,4.01E+13,1.93E+12,2.1225E+11,3.12E+12,5.76E+11
1997Q4,3275037329,3707241914,524360500.9,483265228.8,74,82,74,4.20E+13,2.07E+12,2.2105E+11,3.14E+12,6.20E+11
1998Q1,3270741582,3660783707,452690858.3,433201318.4,74,83,76,4.39E+13,2.18E+12,2.26613E+11,3.18E+12,6.67E+11
1998Q2,2826886867,3856939454,451654340.7,443839772.4,75,82,77,4.59E+13,2.30E+12,2.31718E+11,3.21E+12,7.11E+11
1998Q3,2553971503,4015334674,456627331.8,499451924.7,75,81,77,4.80E+13,2.43E+12,2.35783E+11,3.25E+12,7.64E+11
1998Q4,2792415538,4351692349,488015901.8,617463304.2,75,81,78,5.01E+13,2.58E+12,2.40423E+11,3.30E+12,8.27E+11
1999Q1,2607680263,3950592632,479534473.7,573966842.1,75,82,79,5.22E+13,2.70E+12,2.44421E+11,3.33E+12,8.97E+11
1999Q2,2791276579,4733156579,488795263.2,489451842.1,76,80,79,5.44E+13,2.83E+12,2.48643E+11,3.36E+12,9.71E+11
1999Q3,2945614268,5092320855,537436585.3,597727407.4,77,80,79,5.66E+13,2.97E+12,2.52951E+11,3.40E+12,1.04E+12
1999Q4,3068975452,4756895871,633007559.2,656755137.1,77,81,80,5.88E+13,3.13E+12,2.5775E+11,3.46E+12,1.11E+12
2000Q1,2831407955,4379336373,605118386,595932255,78,82,80,6.12E+13,3.26E+12,2.63091E+11,3.47E+12,1.21E+12
2000Q2,3458291428,5051990924,841230499,688694520,79,80,80,6.35E+13,3.41E+12,2.69321E+11,3.53E+12,1.34E+12
2000Q3,4093770203,5693376618,911600378,852164093,79,80,80,6.59E+13,3.56E+12,2.75691E+11,3.54E+12,1.49E+12
2000Q4,3284675017,5036873177,879186384,891365015,80,82,81,6.83E+13,3.74E+12,2.81471E+11,3.56E+12,1.61E+12
2001Q1,3358426579,4524415789,756538157,884183421,81,82,82,7.07E+13,3.88E+12,2.87358E+11,3.55E+12,1.80E+12
2001Q2,3011529239,4404105108,805647042,827184147,81,82,82,7.31E+13,4.04E+12,2.9365E+11,3.57E+12,1.96E+12
2001Q3,2699516287,4471416317,996707854,1007221316,82,81,82,7.55E+13,4.22E+12,2.99412E+11,3.55E+12,2.13E+12
2001Q4,2769233487,4415895210,1245532988,1102401210,81,81,82,7.79E+13,4.41E+12,3.04782E+11,3.56E+12,2.31E+12
2002Q1,3166477659,4386505369,1323638816,1102820158,82,82,83,8.02E+13,4.57E+12,3.10217E+11,3.59E+12,2.53E+12
2002Q2,3654819330,4972173608,1435058204,1227619728,82,81,83,8.26E+13,4.74E+12,3.16445E+11,3.62E+12,2.78E+12
2002Q3,3321932894,5351980000,1717111315,1448717368,83,80,83,8.49E+13,4.93E+12,3.22441E+11,3.63E+12,3.07E+12
2002Q4,2955670683,4115771364,1680738797,1474301239,83,81,83,8.73E+13,5.14E+12,3.28465E+11,3.63E+12,3.39E+12
2003Q1,2931210367,4531906101,1430732190,1403159925,84,82,84,8.97E+13,5.32E+12,3.34206E+11,3.65E+12,3.80E+12
2003Q2,3192801031,5188492291,1661729367,1629422798,84,81,84,9.21E+13,5.52E+12,3.40548E+11,3.69E+12,4.19E+12
2003Q3,3232011155,5253561907,1954968840,1769877333,85,81,84,9.46E+13,5.73E+12,3.46835E+11,3.75E+12,4.67E+12
2003Q4,3494572712,5565560821,2252218653,2007564644,85,83,84,9.72E+13,5.97E+12,3.53166E+11,3.79E+12,5.15E+12
2004Q1,3559641433,5073889062,2107952862,1893332171,85,85,85,9.98E+13,6.18E+12,3.59275E+11,3.81E+12,5.76E+12
2004Q2,3896652552,5995188844,2549449838,2121269732,87,85,85,1.02E+14,6.42E+12,3.65996E+11,3.84E+12,6.52E+12
2004Q3,3831841099,6574861141,2854927925,2260300777,87,85,85,1.05E+14,6.67E+12,3.72657E+11,3.88E+12,7.30E+12
2004Q4,3974813716,6104599444,2827067346,2185226831,87,86,86,1.08E+14,6.95E+12,3.79307E+11,3.92E+12,8.26E+12
2005Q1,3240909713,5693723880,2781801939,2097233690,88,87,87,1.11E+14,7.19E+12,3.86468E+11,3.96E+12,9.34E+12
2005Q2,3806409460,7099498552,3097504781,2172542120,89,86,87,1.14E+14,7.47E+12,3.94612E+11,3.98E+12,1.05E+13
2005Q3,3840539945,7674607302,3765396284,2259002032,90,86,88,1.17E+14,7.76E+12,4.0304E+11,4.01E+12,1.19E+13
2005Q4,3901247845,7295663994,3531853836,2774319014,91,87,89,1.20E+14,8.09E+12,4.11325E+11,4.03E+12,1.34E+13
2006Q1,4179760370,6581660009,3453063236,2233024875,91,88,90,1.23E+14,8.39E+12,4.1967E+11,4.09E+12,1.53E+13
2006Q2,4391742292,7708386196,3924859916,2722026325,93,88,91,1.26E+14,8.72E+12,4.28862E+11,4.10E+12,1.75E+13
2006Q3,4096677694,8214762631,4313604486,3455230955,93,87,91,1.30E+14,9.07E+12,4.37725E+11,4.11E+12,1.99E+13
2006Q4,3756027900,7685705137,4195784213,3235819639,92,88,92,1.33E+14,9.47E+12,4.4706E+11,4.14E+12,2.28E+13
2007Q1,3818508009,6787885121,4017468190,3199755044,93,91,92,1.36E+14,9.84E+12,4.56922E+11,4.15E+12,2.66E+13
2007Q2,4024892991,6670905041,4411899012,3418090624,95,91,92,1.39E+14,1.03E+13,4.67793E+11,4.18E+12,3.12E+13
2007Q3,3901926156,7081055347,5009191986,4206747787,95,93,93,1.42E+14,1.07E+13,4.78812E+11,4.20E+12,3.60E+13
2007Q4,4183080837,6991096295,5469608492,4627163869,96,94,94,1.46E+14,1.13E+13,4.90458E+11,4.23E+12,4.13E+13
2008Q1,4071057015,6067891818,5035248677,3903113858,97,98,95,1.49E+14,1.17E+13,5.02303E+11,4.21E+12,4.60E+13
2008Q2,4425474305,7118904389,4984318549,5662181787,99,98,97,1.52E+14,1.23E+13,5.15157E+11,4.24E+12,5.15E+13
2008Q3,4690651634,6630982295,5454794975,5926237358,101,98,101,1.55E+14,1.29E+13,5.27383E+11,4.21E+12,5.77E+13
2008Q4,3781360081,5118006544,4609882483,3557392256,98,97,99,1.58E+14,1.36E+13,5.38054E+11,4.12E+12,6.31E+13
2009Q1,2856431141,3725294394,3469057711,3404246624,97,97,98,1.61E+14,1.41E+13,5.48011E+11,4.07E+12,6.76E+13
2009Q2,3323382171,4213390632,3989030406,4316785857,98,97,98,1.64E+14,1.47E+13,5.5915E+11,4.07E+12,7.29E+13
2009Q3,3823632712,4410351820,4477024449,5475920492,99,97,98,1.66E+14,1.54E+13,5.70252E+11,4.08E+12,8.01E+13
2009Q4,3905101730,4979836786,5455406219,6005984534,99,97,99,1.69E+14,1.61E+13,5.82579E+11,4.13E+12,9.00E+13
2010Q1,3938126911,4441917207,4470059795,6132404261,100,99,99,1.72E+14,1.67E+13,5.9488E+11,4.15E+12,1.03E+14
2010Q2,4232699954,4844895435,5379464792,6001653387,100,99,100,1.75E+14,1.75E+13,6.09545E+11,4.19E+12,1.18E+14
2010Q3,4620572935,4854581544,5426589505,6254808175,100,100,100,1.77E+14,1.83E+13,6.24232E+11,4.22E+12,1.34E+14
2010Q4,4734742824,4845296588,5406065387,6523182751,100,102,101,1.80E+14,1.92E+13,6.39938E+11,4.24E+12,1.50E+14
2011Q1,4716745873,4515656073,5202474906,7046616331,102,104,102,1.83E+14,1.99E+13,6.5539E+11,4.23E+12,1.69E+14
2011Q2,4470055637,4862518179,6307265803,7137061488,103,105,103,1.86E+14,2.09E+13,6.72191E+11,4.26E+12,1.90E+14
2011Q3,4657895255,4893607663,6546715055,8324222056,104,106,104,1.89E+14,2.18E+13,6.89018E+11,4.26E+12,2.11E+14
2011Q4,4300039706,4626069387,6690793828,7445563807,104,107,104,1.92E+14,2.29E+13,7.06022E+11,4.31E+12,2.33E+14
2012Q1,3700497004,4752365874,6726650913,6786115972,105,108,104,1.95E+14,2.39E+13,7.24087E+11,4.34E+12,2.51E+14
2012Q2,4103757593,4890776871,7718971276,7559936178,105,108,105,1.98E+14,2.49E+13,7.45021E+11,4.36E+12,2.69E+14
2012Q3,4232789688,5127828579,7435674595,7126941044,106,108,105,2.01E+14,2.60E+13,7.65203E+11,4.37E+12,2.88E+14
2012Q4,3866676309,4967873166,7881144318,7308625935,106,109,105,2.04E+14,2.72E+13,7.85754E+11,4.37E+12,3.09E+14
2013Q1,3887805769,4578344694,7911128455,6611776884,106,111,106,2.08E+14,2.82E+13,8.06151E+11,4.42E+12,3.32E+14
2013Q2,4041538167,4730561161,8539325991,6939668492,107,111,107,2.11E+14,2.94E+13,8.28864E+11,4.43E+12,3.54E+14
2013Q3,4111958959,4555133923,8648214105,8058920109,107,111,107,2.14E+14,3.06E+13,8.50267E+11,4.47E+12,3.78E+14
2013Q4,4145115686,4609776215,8641660597,9100796744,107,112,109,2.18E+14,3.20E+13,8.71364E+11,4.50E+12,4.06E+14
2014Q1,3862340004,4454871641,7624448602,7126442182,108,114,110,2.21E+14,3.31E+13,8.92064E+11,4.49E+12,4.30E+14
2014Q2,4164962866,5085918028,8859352891,6814694397,109,113,110,2.25E+14,3.44E+13,9.15497E+11,4.55E+12,4.59E+14
2014Q3,4062719678,5036148539,9664642434,6951784072,109,113,110,2.28E+14,3.58E+13,9.37848E+11,4.60E+12,4.88E+14
2014Q4,3925544437,5130637757,9179672959,7310877246,108,114,112,2.32E+14,3.72E+13,9.59228E+11,4.63E+12,5.18E+14
2015Q1,3567783950,4658328103,7884145152,5664302892,108,115,110,2.36E+14,3.85E+13,9.80111E+11,4.67E+12,5.49E+14
2015Q2,3637191079,4679346943,8705449698,7055231943,109,114,112,2.39E+14,3.98E+13,1.00135E+12,4.70E+12,5.82E+14
2015Q3,3472606061,4768621965,8343362863,6893112726,109,115,114,2.43E+14,4.12E+13,1.02008E+12,4.71E+12,6.10E+14
2015Q4,3515940426,4773470154,8222204289,6374311898,109,115,115,2.47E+14,4.28E+13,1.03761E+12,4.72E+12,6.39E+14
2016Q1,3341586138,4544522084,7248189532,4962665581,109,117,114,2.51E+14,4.40E+13,1.05599E+12,4.75E+12,6.72E+14
2016Q2,3564183134,5003071405,8961556202,5360265979,110,117,115,2.54E+14,4.54E+13,1.07697E+12,4.77E+12,7.08E+14
2016Q3,3214619384,4997224508,8930357886,6308023013,111,117,115,2.58E+14,4.68E+13,1.09649E+12,4.80E+12,7.52E+14
2016Q4,3306449865,4836341158,9149681806,7088724196,111,118,116,2.62E+14,4.84E+13,1.1146E+12,4.83E+12,8.06E+14
2017Q1,4450612096,4795109964,8909644110,6542625904,112,119,119,2.66E+14,4.97E+13,1.13396E+12,4.85E+12,8.86E+14
2017Q2,4183933608,5066512883,9213214858,7083595802,112,119,119,2.70E+14,5.12E+13,1.15454E+12,4.88E+12,9.68E+14
2017Q3,3716081074,5375762655,9746698956,7531731618,113,119,120,2.74E+14,5.27E+13,1.1747E+12,4.92E+12,1.06E+15
2017Q4,3752093153,5453746811,10441700300,8244366457,113,120,121,2.78E+14,5.45E+13,1.1946E+12,4.97E+12,1.15E+15
2018Q1,3951835805,5645630500,10125513807,7436203608,114,121,121,2.82E+14,5.61E+13,1.21669E+12,5.01E+12,1.25E+15
2018Q2,3798884642,5461956359,11355552136,8960743066,115,121,121,2.86E+14,5.79E+13,1.23976E+12,5.04E+12,1.36E+15
2018Q3,4254310133,5685376034,11160674746,8817013070,116,122,120,2.91E+14,5.96E+13,1.26138E+12,5.07E+12,1.46E+15
2018Q4,4092179096,5737375171,10815223197,9175563766,116,122,121,2.95E+14,6.15E+13,1.28152E+12,5.08E+12,1.56E+15
2019Q1,3918408495,5374965056,9971479442,7626250263,116,124,121,2.99E+14,6.31E+13,1.30215E+12,5.10E+12,1.65E+15
2019Q2,4071041717,5593205798,10559162872,7929979308,117,124,121,3.04E+14,6.48E+13,1.32427E+12,5.15E+12,1.73E+15
2019Q3,4167603596,5984893825,10697959489,8569951278,118,125,122,3.08E+14,6.66E+13,1.34504E+12,5.20E+12,1.80E+15
2019Q4,4419376310,6196721023,11143349305,9554869925,118,128,122,3.09E+14,6.86E+13,1.36528E+12,5.24E+12,1.84E+15
2020Q1,4334018081,5755572263,9506405841,7367302296,118,130,122,3.11E+14,7.01E+13,1.3846E+12,5.17E+12,1.65E+15
2020Q2,3775689865,5140179724,9287653554,8942726655,118,127,118,3.12E+14,7.18E+13,1.39951E+12,4.76E+12,1.65E+15
2020Q3,4311384685,7370566745,10250849476,10733612040,119,128,120,3.13E+14,7.37E+13,1.41792E+12,5.13E+12,1.71E+15
2020Q4,4230871442,7736792601,11879153082,10730657761,119,128,120,3.14E+14,7.60E+13,1.43595E+12,5.18E+12,1.82E+15
2021Q1,4121294529,8030110721,12497381116,10325533427,121,130,122,3.15E+14,7.79E+13,1.4553E+12,5.25E+12,2.17E+15
2021Q2,4529472865,8597035206,14627525791,11353527151,124,129,123,3.16E+14,8.01E+13,1.47384E+12,5.33E+12,2.43E+15
2021Q3,4550707333,8155756149,13548978259,11476302984,125,129,123,3.18E+14,8.23E+13,1.49037E+12,5.37E+12,2.64E+15
2021Q4,5003494974,9564924341,14843475401,13151750199,127,130,124,3.19E+14,8.49E+13,1.50803E+12,5.46E+12,2.85E+15
2022Q1,4930672591,8617380998,14666122619,11939806502,130,131,125,3.20E+14,8.70E+13,1.52728E+12,5.43E+12,3.05E+15
2022Q2,5750651287,9926840746,16118272575,11716404552,134,132,127,3.22E+14,8.92E+13,1.54633E+12,5.43E+12,3.08E+15
2022Q3,6610575466,9943298885,16510658350,12127615230,136,132,128,3.23E+14,9.15E+13,1.56427E+12,5.46E+12,3.17E+15
2022Q4,5601274809,9494100515,15660284304,12059855106,136,132,129,3.25E+14,9.38E+13,1.58224E+12,5.50E+12,3.19E+15
2023Q1,4757427129,8869877639,14310887577,10473052194,138,133,130,3.26E+14,9.59E+13,1.60189E+12,5.53E+12,3.31E+15
2023Q2,4503374315,8545070699,13513488140,10168230805,140,132,130,3.27E+14,9.81E+13,1.62161E+12,5.56E+12,3.48E+15
2023Q3,4955857100,9054021055,13641871898,10400906243,141,132,131,3.29E+14,1.00E+14,5.84044E+12,5.62E+12,3.62E+15
2023Q4,,,,,141,132,131,3.30E+14,1.03E+14,,5.67E+12,3.78E+15
2024Q1,,,,,142,133,,,,,,
