データコード,FF'FOF_FFYF100L700,FF'FOF_FFYF110L700,FF'FOF_FFYF120L700,FF'FOF_FFYF121L700,FF'FOF_FFYF122L700,FF'FOF_FFYF123L700,FF'FOF_FFYF124L700,FF'FOF_FFYF125L700,FF'FOF_FFYF126L700,FF'FOF_FFYF127L700,FF'FOF_FFYF160L700,FF'FOF_FFYF161L700,FF'FOF_FFYF162L700,FF'FOF_FFYF163L700,FF'FOF_FFYF130L700,FF'FOF_FFYF131L700,FF'FOF_FFYF132L700,FF'FOF_FFYF133L700,FF'FOF_FFYF134L700,FF'FOF_FFYF135L700,FF'FOF_FFYF137L700,FF'FOF_FFYF136L700,FF'FOF_FFYF140L700,FF'FOF_FFYF141L700,FF'FOF_FFYF143L700,FF'FOF_FFYF144L700,FF'FOF_FFYF142L700,FF'FOF_FFYF150L700,FF'FOF_FFYF170L700,FF'FOF_FFYF171L700,FF'FOF_FFYF172L700,FF'FOF_FFYF180L700,FF'FOF_FFYF181L700,FF'FOF_FFYF182L700,FF'FOF_FFYF190L700,FF'FOF_FFYF191L700,FF'FOF_FFYF300L700,FF'FOF_FFYF301L700,FF'FOF_FFYF210L700,FF'FOF_FFYF400L700,FF'FOF_FFYF410L700,FF'FOF_FFYF411L700,FF'FOF_FFYF412L700,FF'FOF_FFYF420L700,FF'FOF_FFYF421L700,FF'FOF_FFYF422L700,FF'FOF_FFYF423L700,FF'FOF_FFYF424L700,FF'FOF_FFYF430L700,FF'FOF_FFYF440L700,FF'FOF_FFYF500L700,FF'FOF_FFYF800L700,FF'FOF_93FFYF100L700,FF'FOF_93FFYF110L700,FF'FOF_93FFYF120L700,FF'FOF_93FFYF121L700,FF'FOF_93FFYF122L700,FF'FOF_93FFYF123L700,FF'FOF_93FFYF124L700,FF'FOF_93FFYF125L700,FF'FOF_93FFYF126L700,FF'FOF_93FFYF127L700,FF'FOF_93FFYF130L700,FF'FOF_93FFYF131L700,FF'FOF_93FFYF132L700,FF'FOF_93FFYF133L700,FF'FOF_93FFYF134L700,FF'FOF_93FFYF135L700,FF'FOF_93FFYF136L700,FF'FOF_93FFYF140L700,FF'FOF_93FFYF141L700,FF'FOF_93FFYF142L700,FF'FOF_93FFYF150L700,FF'FOF_93FFYF160L700,FF'FOF_93FFYF161L700,FF'FOF_93FFYF162L700,FF'FOF_93FFYF163L700,FF'FOF_93FFYF170L700,FF'FOF_93FFYF171L700,FF'FOF_93FFYF172L700,FF'FOF_93FFYF180L700,FF'FOF_93FFYF181L700,FF'FOF_93FFYF182L700,FF'FOF_93FFYF190L700,FF'FOF_93FFYF191L700,FF'FOF_93FFYF300L700,FF'FOF_93FFYF400L700,FF'FOF_93FFYF410L700,FF'FOF_93FFYF411L700,FF'FOF_93FFYF412L700,FF'FOF_93FFYF420L700,FF'FOF_93FFYF421L700,FF'FOF_93FFYF422L700,FF'FOF_93FFYF423L700,FF'FOF_93FFYF424L700,FF'FOF_93FFYF430L700,FF'FOF_93FFYF440L700,FF'FOF_93FFYF500L700,FF'FOF_93FFYF800L700
系列名称,"負債・資金過不足／金融機関／フロー","負債・資金過不足／中央銀行／フロー","負債・資金過不足／預金取扱機関／フロー","負債・資金過不足／銀行等／フロー","負債・資金過不足／国内銀行／フロー","負債・資金過不足／在日外銀／フロー","負債・資金過不足／農林水産金融機関／フロー","負債・資金過不足／中小企業金融機関等／フロー","負債・資金過不足／郵便貯金／フロー","負債・資金過不足／合同運用信託／フロー","負債・資金過不足／証券投資信託／フロー","負債・資金過不足／公社債投信／フロー","負債・資金過不足／うちＭＭＦ・ＭＲＦ／フロー","負債・資金過不足／株式投信／フロー","負債・資金過不足／保険・年金基金／フロー","負債・資金過不足／保険／フロー","負債・資金過不足／生命保険／フロー","負債・資金過不足／うち民間生命保険会社／フロー","負債・資金過不足／非生命保険／フロー","負債・資金過不足／うち民間損害保険会社／フロー","負債・資金過不足／うち定型保証機関／フロー","負債・資金過不足／共済保険／フロー","負債・資金過不足／年金基金／フロー","負債・資金過不足／企業年金／フロー","負債・資金過不足／確定給付型年金／フロー","負債・資金過不足／確定拠出型年金／フロー","負債・資金過不足／その他年金／フロー","負債・資金過不足／その他金融仲介機関／フロー","負債・資金過不足／ノンバンク／フロー","負債・資金過不足／ファイナンス会社／フロー","負債・資金過不足／特別目的会社・信託／フロー","負債・資金過不足／公的金融機関／フロー","負債・資金過不足／財政融資資金／フロー","負債・資金過不足／政府系金融機関／フロー","負債・資金過不足／ディーラー・ブローカー／フロー","負債・資金過不足／うち証券会社／フロー","負債・資金過不足／非仲介型金融機関／フロー","負債・資金過不足／うち金融持株会社／フロー","負債・資金過不足／公的専属金融機関／フロー","負債・資金過不足／国内非金融部門／フロー","負債・資金過不足／非金融法人企業／フロー","負債・資金過不足／民間非金融法人企業／フロー","負債・資金過不足／公的非金融法人企業／フロー","負債・資金過不足／一般政府／フロー","負債・資金過不足／中央政府／フロー","負債・資金過不足／地方公共団体／フロー","負債・資金過不足／社会保障基金／フロー","負債・資金過不足／うち公的年金／フロー","負債・資金過不足／家計／フロー","負債・資金過不足／対家計民間非営利団体／フロー","負債・資金過不足／海外／フロー","負債・資金過不足／年金計／フロー","（更新停止）負債・資金過不足／金融機関／フロー","（更新停止）負債・資金過不足／中央銀行／フロー","（更新停止）負債・資金過不足／預金取扱機関／フロー","（更新停止）負債・資金過不足／銀行等／フロー","（更新停止）負債・資金過不足／国内銀行／フロー","（更新停止）負債・資金過不足／在日外銀／フロー","（更新停止）負債・資金過不足／農林水産金融機関／フロー","（更新停止）負債・資金過不足／中小企業金融機関等／フロー","（更新停止）負債・資金過不足／郵便貯金／フロー","（更新停止）負債・資金過不足／合同運用信託／フロー","（更新停止）負債・資金過不足／保険・年金基金／フロー","（更新停止）負債・資金過不足／保険／フロー","（更新停止）負債・資金過不足／生命保険／フロー","（更新停止）負債・資金過不足／うち民間生命保険会社／フロー","（更新停止）負債・資金過不足／非生命保険／フロー","（更新停止）負債・資金過不足／うち民間損害保険会社／フロー","（更新停止）負債・資金過不足／共済保険／フロー","（更新停止）負債・資金過不足／年金基金／フロー","（更新停止）負債・資金過不足／企業年金／フロー","（更新停止）負債・資金過不足／その他年金／フロー","（更新停止）負債・資金過不足／その他金融仲介機関／フロー","（更新停止）負債・資金過不足／証券投資信託／フロー","（更新停止）負債・資金過不足／公社債投信／フロー","（更新停止）負債・資金過不足／うちＭＭＦ・ＭＲＦ／フロー","（更新停止）負債・資金過不足／株式投信／フロー","（更新停止）負債・資金過不足／ノンバンク／フロー","（更新停止）負債・資金過不足／ファイナンス会社／フロー","（更新停止）負債・資金過不足／特別目的会社・信託／フロー","（更新停止）負債・資金過不足／公的金融機関／フロー","（更新停止）負債・資金過不足／財政融資資金／フロー","（更新停止）負債・資金過不足／政府系金融機関／フロー","（更新停止）負債・資金過不足／ディーラー・ブローカー／フロー","（更新停止）負債・資金過不足／うち証券会社／フロー","（更新停止）負債・資金過不足／非仲介型金融機関／フロー","（更新停止）負債・資金過不足／国内非金融部門／フロー","（更新停止）負債・資金過不足／非金融法人企業／フロー","（更新停止）負債・資金過不足／民間非金融法人企業／フロー","（更新停止）負債・資金過不足／公的非金融法人企業／フロー","（更新停止）負債・資金過不足／一般政府／フロー","（更新停止）負債・資金過不足／中央政府／フロー","（更新停止）負債・資金過不足／地方公共団体／フロー","（更新停止）負債・資金過不足／社会保障基金／フロー","（更新停止）負債・資金過不足／うち公的年金／フロー","（更新停止）負債・資金過不足／家計／フロー","（更新停止）負債・資金過不足／対家計民間非営利団体／フロー","（更新停止）負債・資金過不足／海外／フロー","（更新停止）負債・資金過不足／年金計／フロー"
2008,161864,-7,79759,79891,31381,104,19128,29278,,-132,2070,-520,-26,2590,18987,-2805,13552,,-17576,-15269,0,1219,21792,25709,25709,0,-3917,31007,-10636,-11194,558,32701,23136,9565,8942,8153,-11474,-20222,41522,-59919,92955,76904,16051,-282910,-275989,42833,-49754,-44440,118975,11061,-101945,-22648,-7895,-11,67143,67271,47796,-4506,6800,17181,,-128,38337,20450,46717,,-22618,-14195,-3649,17887,23777,-5890,-113607,-25059,127,74,-25186,-14154,-14766,612,-59481,-89996,30515,-14913,-14498,243,109840,117343,94471,22872,-145440,-149736,31994,-27698,-30902,108401,29536,-101945,-13015
2009,155779,3437,107821,106520,39441,235,25363,41481,,1301,28830,248,-2,28582,32653,46211,26023,,13549,10310,0,6639,-13558,-19137,-19137,0,5579,7793,-6861,-7244,383,21442,15003,6439,-6788,-8760,-12901,-38873,-11854,6885,308607,287993,20614,-444220,-423273,33948,-54895,-31415,137422,5076,-162664,-44973,150581,3436,104988,103691,50227,325,25436,27703,,1297,116811,90454,77876,,7759,5828,4819,26357,26936,-579,-94442,109,-168,242,277,-6530,-6938,408,-68754,-58470,-10284,-19267,-18675,19788,12083,207836,193566,14270,-362623,-344291,38474,-56806,-32757,152637,14233,-162664,-6400
2010,35807,2228,38533,38085,26469,22,-1795,13389,,448,3727,-181,-118,3908,-91,8465,4460,,12817,11114,5294,-8812,-8556,-6704,-6704,0,-1852,-14513,-28489,-28460,-29,12397,11779,618,1579,1904,321,-4245,5602,142076,335902,320981,14921,-401919,-341194,-15192,-45533,-35277,199975,8118,-177883,-43833,18520,2161,67994,67544,49411,-9391,11082,16442,,450,31329,11658,17381,,-1512,-3974,-4211,19671,15879,3792,-83075,-24450,-60,-32,-24390,-18352,-18336,-16,-29777,-35585,5808,-10496,-10483,111,159363,345129,299176,45953,-368520,-312493,-14664,-41363,-42623,179408,3346,-177883,-22952
2011,62626,3990,69398,69211,31471,4698,14044,18998,,187,23332,-33,-118,23365,-21479,-1949,17291,,-22033,-28588,423,2793,-19530,-19535,-19535,0,5,-16576,-22238,-22253,15,7755,9026,-1271,-2093,-1403,7713,1597,-3752,21787,245875,221438,24437,-432583,-415784,25223,-42022,-35228,217525,-9030,-84413,-54758,63556,3668,75039,74854,37204,1871,15240,20539,,185,7869,429,20170,,-15583,-14123,-4158,7440,4136,3304,-30350,-23166,541,-132,-23707,-6958,-6974,16,2431,-748,3179,-2657,-1528,7330,20857,204056,195687,8369,-422068,-389272,13290,-46086,-36811,229408,9461,-84413,-29371
2012,19086,-5255,20258,22392,21246,-1758,10811,-7907,,-2134,-10349,33,-260,-10382,-4276,5181,6431,,-888,-2727,-257,-362,-9457,-13552,-13552,0,4095,14198,6048,6049,-1,15826,6145,9681,-7676,-7947,8780,6959,-4270,19699,236033,200697,35336,-367183,-349972,26302,-43513,-49307,152894,-2045,-38785,-58764,-9148,-5507,32724,34860,-2860,11279,4679,21762,,-2136,-186,-3589,-3461,,-1964,-4121,1836,3403,-2472,5875,-40180,-28286,-49,-269,-28237,-21167,-21165,-2,13151,-3623,16774,-3878,-6169,4001,47930,228237,190286,37951,-390407,-349142,9785,-51050,-61005,197977,12123,-38782,-57602
2013,20435,-13192,-9284,-8962,-5409,501,11797,-15851,,-322,-7093,-389,-412,-6704,-1192,-3382,-22548,,19827,6964,9028,-661,2190,1582,1582,0,608,32230,18534,18522,12,10907,4568,6339,2789,3507,21389,13620,-2423,-2345,259455,232484,26971,-314415,-317788,24741,-21368,-31469,53215,-600,-18090,-29279,-65927,-12798,3167,3488,-21747,9887,3269,12079,,-321,-25510,-2451,-13179,,4935,2750,5793,-23059,-28396,5337,-42657,-29624,-711,-556,-28913,-11133,-11134,1,3885,-2193,6078,-5785,-6754,11871,74906,213416,200283,13133,-315934,-298207,18851,-36578,-45599,161310,16114,-8979,-68658
2014,-70128,-15511,-26126,-26320,3241,2768,10698,-43027,,194,17891,498,-268,17393,-43681,-18720,-14943,,7089,3255,3015,-10866,-24961,-25510,-25510,0,549,-24764,-17283,-17271,-12,17570,3883,13687,-25051,-24440,17207,9067,4856,154453,192658,172501,20157,-254891,-262575,-10358,18042,12450,195216,21470,-84325,-12511,-76013,-15731,15805,15610,-32139,24180,8357,15212,,195,-64449,-12507,-9781,,1951,-915,-4677,-51942,-52647,705,-22776,-23956,392,-410,-24348,-7404,-7404,0,20953,4146,16807,-12369,-13858,11138,152614,93529,90054,3475,-226741,-264529,33969,3819,-1461,249322,36504,-76601,-53403
2015,-20774,-19789,21931,22049,841,-4441,-3481,29130,,-118,-15510,1235,1200,-16745,-59072,-21913,-36892,,12795,7554,454,2184,-37159,-32117,-32117,0,-5042,18771,11796,11796,0,5967,3805,2162,1008,865,29124,17678,3771,196723,206621,209454,-2833,-121302,-222449,51148,49999,40761,121770,-10366,-175949,3602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,54796,-24956,30979,30987,3793,-302,13929,13567,,-8,-1285,-2314,130,1029,-1437,46570,36410,,9708,9793,-1009,452,-48007,-49441,-49441,0,1434,31228,16657,16647,10,6660,3090,3570,7911,5968,16337,2861,3930,159490,77225,81012,-3787,-131598,-212347,19613,61136,52212,190914,22949,-214286,4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,17981,-1378,26162,26268,7675,602,-21818,39809,,-106,-25545,-75,0,-25470,155,5770,-1036,,5682,7798,-741,1124,-5615,-22584,-22584,0,16969,350,5200,4217,983,2214,1702,512,-7064,-8696,14577,13159,3660,202959,192779,171940,20839,-119943,-176177,19435,36799,33371,105772,24351,-220940,27756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2938,-2917,36314,38187,8010,3046,12739,14392,,-1873,-18986,783,0,-19769,-28350,-12112,-17637,,5636,4920,-2647,-111,-16238,-8167,-8167,0,-8071,1363,-2234,-1243,-991,16903,1213,15690,-13306,-17262,13249,4423,2265,189251,91440,61535,29905,-107038,-149906,4796,38072,29454,213608,-8759,-192189,13216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,79129,-985,18737,22021,3458,-4981,7635,15909,,-3284,-364,1735,0,-2099,11490,10933,-1192,,8807,5879,373,3318,557,4199,4199,0,-3642,20404,17486,17488,-2,4197,1810,2387,-1279,-7441,26956,14236,2891,102979,44846,41351,3495,-124945,-173589,15226,33418,30771,184127,-1049,-182108,31328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,183181,2765,66907,69624,9619,3095,30252,26658,,-2717,-19765,-1682,0,-18083,92025,80354,56741,,17735,14315,8734,5878,11671,5451,5451,0,6220,2758,-3580,-3578,-2,11760,1218,10542,-5422,-9756,35125,16508,3366,-15930,72758,53723,19035,-526135,-537359,-9928,21152,39277,413625,23822,-167251,50948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,65768,12137,1392,2830,1956,14626,-4649,-9103,,-1438,-38373,-2604,0,-35769,76277,77779,44760,,25510,18155,4925,7509,-1502,4339,4339,0,-5841,-11561,10768,10767,1,6223,-1093,7316,-28552,-31087,24559,23500,1337,131745,143519,133332,10187,-351730,-408541,42912,13899,15164,308005,31951,-197513,13662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,-29400,20201,-48126,-47103,-9145,11151,-49128,19,,-1023,-76067,-2638,0,-73429,28760,28226,15374,,14215,9965,1961,-1363,534,5983,5983,0,-5449,-6219,4800,4799,1,12206,-1332,13538,-23225,-24916,47726,15779,4325,118612,113034,118705,-5671,-207884,-303154,53577,41693,41704,179178,34284,-89212,42238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,40212,20640,-21974,-20820,-12000,13006,28502,-50328,,-1154,-70588,517,35,-71105,42347,58535,45584,,13047,11936,-2136,-96,-16188,-12881,-12881,0,-3307,24505,42468,42469,-1,4849,-1660,6509,-22812,-26695,38795,29358,6487,218112,210518,191876,18642,-148507,-226801,28812,49482,40898,126524,29577,-258324,24710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,39966,25044,34623,33456,-6344,10844,3205,25751,,1167,-62948,980,110,-63928,50933,68872,44560,,22048,21383,-684,2264,-17939,-8206,-8206,0,-9733,-2523,5447,5446,1,4841,-977,5818,-12811,-19535,-6038,8431,875,261386,238112,238437,-325,-61062,-171431,31191,79178,71531,72027,12309,-301352,53592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
